detection_level,metric,date,value,iqr_anomaly,mad_anomaly,iqr_deviation,mad_z_score,severity,lower_bound,upper_bound,state
geographic,enrol_total,,593753,True,True,2.535250152790982,32.46225540937487,1.0,-176151.75,295080.25,Bihar
geographic,enrol_total,,99773,False,True,0.0,4.892894605105291,1.0,-186762.0,312764.0,Chhattisgarh
geographic,enrol_total,,92838,False,True,0.0,4.5058475238922675,1.0,-186762.0,312764.0,Delhi
geographic,enrol_total,,275042,False,True,0.0,14.6747770675603,1.0,-176151.75,295080.25,Gujarat
geographic,enrol_total,,95085,False,True,0.0,4.631254126846221,1.0,-186762.0,312764.0,Haryana
geographic,enrol_total,,153612,False,True,0.0,7.897685925282364,1.0,-176151.75,295080.25,Jharkhand
geographic,enrol_total,,219618,False,True,0.0,11.58152581606057,1.0,-176151.75,295080.25,Karnataka
geographic,enrol_total,,73950,False,True,0.0,3.4516953580737244,1.0,-186762.0,312764.0,Kerala
geographic,enrol_total,,487892,True,True,1.6366609228575308,26.554080778619003,1.0,-176151.75,295080.25,Madhya Pradesh
geographic,enrol_total,,363446,True,True,0.5803150040744262,19.608664618758013,1.0,-176151.75,295080.25,Maharashtra
geographic,enrol_total,,109239,False,True,0.0,5.421198523023458,1.0,-186762.0,312764.0,Meghalaya
geographic,enrol_total,,116400,False,True,0.0,5.820858818418766,1.0,-186762.0,312764.0,Odisha
geographic,enrol_total,,75773,False,True,0.0,3.5534382317653384,1.0,-186762.0,312764.0,Punjab
geographic,enrol_total,,340591,True,True,0.3863128989542306,18.333111476562824,1.0,-176151.75,295080.25,Rajasthan
geographic,enrol_total,,215710,False,True,0.0,11.363417669935044,1.0,-176151.75,295080.25,Tamil Nadu
geographic,enrol_total,,128948,False,True,0.0,6.521171258946672,1.0,-176151.75,295080.25,Telangana
geographic,enrol_total,,1002631,True,True,6.005965214586446,55.28201553514542,1.0,-176151.75,295080.25,Uttar Pradesh
geographic,enrol_total,,369217,True,True,0.6293014905609127,19.93074806586405,1.0,-176151.75,295080.25,West Bengal
