detection_level,metric,date,value,iqr_anomaly,mad_anomaly,iqr_deviation,mad_z_score,severity,lower_bound,upper_bound,state
temporal,demo_total,2025-12-18,34905.0,True,True,0.35411378089056716,-3.113682911854047,0.17705689044528358,72673.625,499300.625,
temporal,demo_total,2025-12-31,0.0,True,False,0.1261659411921471,-2.865574962214449,0.06308297059607355,15622.75,510930.75,
temporal,enrol_total,2025-04-01,257438.0,True,True,87.06091193873999,481.60143125,1.0,-4180.0,7312.0,
temporal,enrol_total,2025-05-01,183616.0,True,True,56.62536255236868,214.3411111111111,1.0,-4504.5,7907.5,
temporal,enrol_total,2025-06-01,215734.0,True,True,52.25323850647701,93.04536275773195,1.0,-5735.0,10013.0,
temporal,enrol_total,2025-07-01,616868.0,True,True,99.81906421105028,159.6353055876686,1.0,-8849.5,15258.5,
temporal,enrol_total,2025-09-01,74989.0,False,True,0.0,17.27247140319716,1.0,-208409.75,347872.25,
temporal,enrol_total,2025-09-02,76496.0,False,True,0.0,16.31112125205931,1.0,-193451.25,322954.75,
temporal,enrol_total,2025-09-03,71988.0,False,True,0.0,14.648264612954186,1.0,-154399.0,257881.0,
temporal,enrol_total,2025-09-04,65349.0,False,True,0.0,12.520797872340424,1.0,-114216.5,190923.5,
temporal,enrol_total,2025-09-05,26069.0,False,True,0.0,3.0012602825745684,1.0,-113423.25,189844.75,
temporal,enrol_total,2025-09-06,58957.0,False,True,0.0,5.720883805082019,1.0,-112630.0,188766.0,
temporal,enrol_total,2025-09-08,83353.0,False,True,0.0,3.1755724419162497,1.0,-111043.5,186608.5,
temporal,enrol_total,2025-09-28,2454.0,True,False,0.22151360936908313,-2.168524893273336,0.11075680468454156,8449.875,116720.875,
temporal,enrol_total,2025-11-15,108948.0,True,True,0.6456878491620112,3.566881594058648,1.0,-10799.25,92304.75,
temporal,enrol_total,2025-11-19,108877.0,True,True,0.9024107264728426,3.8006656594528376,1.0,-7850.625,87390.375,
temporal,enrol_total,2025-12-15,138444.0,True,True,0.6637834502616604,93380.478,1.0,-65638.5,109397.5,
temporal,enrol_total,2025-12-21,28017.0,False,True,0.0,18897.4665,1.0,-34529.625,57549.375,
temporal,enrol_total,2025-12-22,105334.0,True,True,2.512861239009649,71047.783,1.0,-31519.125,52531.875,
temporal,enrol_total,2025-12-23,47327.0,False,True,0.0,31922.0615,1.0,-31519.125,52531.875,
temporal,enrol_total,2025-12-24,46040.0,False,True,0.0,31053.98,1.0,-31519.125,52531.875,
temporal,enrol_total,2025-12-25,48376.0,False,True,0.0,32629.612,1.0,-31519.125,52531.875,
temporal,enrol_total,2025-12-26,51827.0,False,True,0.0,34957.311499999996,1.0,-31519.125,52531.875,
temporal,enrol_total,2025-12-27,44873.0,False,True,0.0,30266.838499999998,1.0,-31519.125,52531.875,
temporal,enrol_total,2025-12-28,43473.0,False,True,0.0,29322.5385,1.0,-31519.125,52531.875,
temporal,enrol_total,2025-12-29,60524.0,False,True,0.0,40823.438,1.0,-59413.5,99022.5,
temporal,enrol_total,2025-12-31,119207.0,True,True,0.17742515104552703,80405.1215,1.0,-66784.5,111307.5,
