insight_id,insight_type,title,priority,impact,state,district,rationale,expected_impact,action_items,timeline,estimated_volume,confidence,campaign_type,anomaly_count,anomaly_type,forecasted_volume,forecast_period,trend_slope,planning_period
19,capacity_planning,Capacity Planning for Bihar,Medium,Medium,Bihar,,"Short-term forecasts indicate average daily volume of 15,582 (upper bound: 197,063) for Bihar. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Bihar; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,15581.942386831275,Short-term (1-3 months),,
20,capacity_planning,Capacity Planning for Tamil Nadu,Medium,Medium,Tamil Nadu,,"Short-term forecasts indicate average daily volume of 13,678 (upper bound: 166,792) for Tamil Nadu. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Tamil Nadu; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,13677.506172839509,Short-term (1-3 months),,
21,capacity_planning,Capacity Planning for Rajasthan,Medium,Medium,Rajasthan,,"Short-term forecasts indicate average daily volume of 12,383 (upper bound: 139,147) for Rajasthan. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Rajasthan; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,12383.04938271605,Short-term (1-3 months),,
22,capacity_planning,Capacity Planning for Andhra Pradesh,Medium,Medium,Andhra Pradesh,,"Short-term forecasts indicate average daily volume of 11,631 (upper bound: 145,355) for Andhra Pradesh. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Andhra Pradesh; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,11631.41975308642,Short-term (1-3 months),,
23,capacity_planning,Capacity Planning for Gujarat,Medium,Medium,Gujarat,,"Short-term forecasts indicate average daily volume of 10,431 (upper bound: 133,983) for Gujarat. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Gujarat; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,10430.609053497945,Short-term (1-3 months),,
24,capacity_planning,Capacity Planning for Karnataka,Medium,Medium,Karnataka,,"Short-term forecasts indicate average daily volume of 8,351 (upper bound: 101,970) for Karnataka. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Karnataka; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,8350.983539094648,Short-term (1-3 months),,
25,capacity_planning,Capacity Planning for Chhattisgarh,Medium,Medium,Chhattisgarh,,"Short-term forecasts indicate average daily volume of 7,206 (upper bound: 89,071) for Chhattisgarh. Current capacity may be insufficient",Ensure adequate capacity to handle forecasted demand,Review current capacity in Chhattisgarh; Plan for 1 enrollment centers; Assess current center utilization rates; Identify capacity expansion needs; Plan staffing requirements; Coordinate infrastructure upgrades if needed; Consider temporary capacity increases,Within 1-2 months,,,,,,7206.234567901233,Short-term (1-3 months),,
26,capacity_planning,Long-term Capacity Planning for Andaman And Nicobar Islands,Medium,Medium,Andaman And Nicobar Islands,,Andaman And Nicobar Islands shows consistent increasing trend (slope: 0.270). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Andaman And Nicobar Islands; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.2699374989792907,Long-term (6-12 months)
27,capacity_planning,Long-term Capacity Planning for Andhra Pradesh,Medium,Medium,Andhra Pradesh,,Andhra Pradesh shows consistent increasing trend (slope: 68.404). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Andhra Pradesh; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,68.40432781153648,Long-term (6-12 months)
28,capacity_planning,Long-term Capacity Planning for Arunachal Pradesh,Medium,Medium,Arunachal Pradesh,,Arunachal Pradesh shows consistent increasing trend (slope: 0.998). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Arunachal Pradesh; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.9975354837412904,Long-term (6-12 months)
29,capacity_planning,Long-term Capacity Planning for Assam,Medium,Medium,Assam,,Assam shows consistent increasing trend (slope: 20.318). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Assam; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,20.31824563362557,Long-term (6-12 months)
30,capacity_planning,Long-term Capacity Planning for Bihar,Medium,Medium,Bihar,,Bihar shows consistent increasing trend (slope: 54.788). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Bihar; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,54.788220238052,Long-term (6-12 months)
31,capacity_planning,Long-term Capacity Planning for Chandigarh,Medium,Medium,Chandigarh,,Chandigarh shows consistent increasing trend (slope: 0.641). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Chandigarh; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.64129586809067,Long-term (6-12 months)
32,capacity_planning,Long-term Capacity Planning for Chhattisgarh,Medium,Medium,Chhattisgarh,,Chhattisgarh shows consistent increasing trend (slope: 49.613). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Chhattisgarh; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,49.613426099480016,Long-term (6-12 months)
33,capacity_planning,Long-term Capacity Planning for Dadra And Nagar Haveli,Medium,Medium,Dadra And Nagar Haveli,,Dadra And Nagar Haveli shows consistent increasing trend (slope: 0.202). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Dadra And Nagar Haveli; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.2015597126361459,Long-term (6-12 months)
34,capacity_planning,Long-term Capacity Planning for Daman And Diu,Medium,Medium,Daman And Diu,,Daman And Diu shows consistent increasing trend (slope: 0.102). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Daman And Diu; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.1018763451026259,Long-term (6-12 months)
35,capacity_planning,Long-term Capacity Planning for Delhi,Medium,Medium,Delhi,,Delhi shows consistent increasing trend (slope: 13.777). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Delhi; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,13.776971437776478,Long-term (6-12 months)
36,capacity_planning,Long-term Capacity Planning for Goa,Medium,Medium,Goa,,Goa shows consistent increasing trend (slope: 0.751). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Goa; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.7509304173033572,Long-term (6-12 months)
37,capacity_planning,Long-term Capacity Planning for Gujarat,Medium,Medium,Gujarat,,Gujarat shows consistent increasing trend (slope: 28.406). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Gujarat; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,28.405683120098438,Long-term (6-12 months)
38,capacity_planning,Long-term Capacity Planning for Haryana,Medium,Medium,Haryana,,Haryana shows consistent increasing trend (slope: 24.644). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Haryana; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,24.64401241931878,Long-term (6-12 months)
39,capacity_planning,Long-term Capacity Planning for Himachal Pradesh,Medium,Medium,Himachal Pradesh,,Himachal Pradesh shows consistent increasing trend (slope: 5.114). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Himachal Pradesh; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,5.114238726549527,Long-term (6-12 months)
40,capacity_planning,Long-term Capacity Planning for Jammu And Kashmir,Medium,Medium,Jammu And Kashmir,,Jammu And Kashmir shows consistent increasing trend (slope: 10.644). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Jammu And Kashmir; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,10.643515909553344,Long-term (6-12 months)
41,capacity_planning,Long-term Capacity Planning for Jharkhand,Medium,Medium,Jharkhand,,Jharkhand shows consistent increasing trend (slope: 20.564). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Jharkhand; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,20.564394443838584,Long-term (6-12 months)
42,capacity_planning,Long-term Capacity Planning for Karnataka,Medium,Medium,Karnataka,,Karnataka shows consistent increasing trend (slope: 29.690). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Karnataka; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,29.689715511162134,Long-term (6-12 months)
43,capacity_planning,Long-term Capacity Planning for Kerala,Medium,Medium,Kerala,,Kerala shows consistent increasing trend (slope: 24.069). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Kerala; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,24.069464804687865,Long-term (6-12 months)
44,capacity_planning,Long-term Capacity Planning for Madhya Pradesh,Medium,Medium,Madhya Pradesh,,Madhya Pradesh shows consistent increasing trend (slope: 68.951). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Madhya Pradesh; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,68.95054925303549,Long-term (6-12 months)
45,capacity_planning,Long-term Capacity Planning for Maharashtra,Medium,Medium,Maharashtra,,Maharashtra shows consistent increasing trend (slope: 171.166). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Maharashtra; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,171.1661547907131,Long-term (6-12 months)
46,capacity_planning,Long-term Capacity Planning for Manipur,Medium,Medium,Manipur,,Manipur shows consistent increasing trend (slope: 5.174). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Manipur; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,5.173922408751462,Long-term (6-12 months)
47,capacity_planning,Long-term Capacity Planning for Mizoram,Medium,Medium,Mizoram,,Mizoram shows consistent increasing trend (slope: 0.352). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Mizoram; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.3524372181213906,Long-term (6-12 months)
48,capacity_planning,Long-term Capacity Planning for Nagaland,Medium,Medium,Nagaland,,Nagaland shows consistent increasing trend (slope: 1.213). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Nagaland; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,1.212755430518683,Long-term (6-12 months)
49,capacity_planning,Long-term Capacity Planning for Odisha,Medium,Medium,Odisha,,Odisha shows consistent increasing trend (slope: 30.647). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Odisha; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,30.64738285596717,Long-term (6-12 months)
50,capacity_planning,Long-term Capacity Planning for Orissa,Medium,Medium,Orissa,,Orissa shows consistent increasing trend (slope: 1.163). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Orissa; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,1.1628830848543403,Long-term (6-12 months)
51,capacity_planning,Long-term Capacity Planning for Pondicherry,Medium,Medium,Pondicherry,,Pondicherry shows consistent increasing trend (slope: 0.417). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Pondicherry; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.4173536008804232,Long-term (6-12 months)
52,capacity_planning,Long-term Capacity Planning for Puducherry,Medium,Medium,Puducherry,,Puducherry shows consistent increasing trend (slope: 0.763). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Puducherry; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.7634719831022613,Long-term (6-12 months)
53,capacity_planning,Long-term Capacity Planning for Punjab,Medium,Medium,Punjab,,Punjab shows consistent increasing trend (slope: 20.319). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Punjab; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,20.319083271553392,Long-term (6-12 months)
54,capacity_planning,Long-term Capacity Planning for Rajasthan,Medium,Medium,Rajasthan,,Rajasthan shows consistent increasing trend (slope: 54.861). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Rajasthan; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,54.86144267181221,Long-term (6-12 months)
55,capacity_planning,Long-term Capacity Planning for Sikkim,Medium,Medium,Sikkim,,Sikkim shows consistent increasing trend (slope: 0.229). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Sikkim; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,0.2294543794441793,Long-term (6-12 months)
56,capacity_planning,Long-term Capacity Planning for Tamil Nadu,Medium,Medium,Tamil Nadu,,Tamil Nadu shows consistent increasing trend (slope: 80.657). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Tamil Nadu; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,80.65695923060801,Long-term (6-12 months)
57,capacity_planning,Long-term Capacity Planning for Telangana,Medium,Medium,Telangana,,Telangana shows consistent increasing trend (slope: 33.441). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Telangana; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,33.44076184026044,Long-term (6-12 months)
58,capacity_planning,Long-term Capacity Planning for Uttar Pradesh,Medium,Medium,Uttar Pradesh,,Uttar Pradesh shows consistent increasing trend (slope: 134.274). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Uttar Pradesh; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,134.27424315671942,Long-term (6-12 months)
59,capacity_planning,Long-term Capacity Planning for Uttarakhand,Medium,Medium,Uttarakhand,,Uttarakhand shows consistent increasing trend (slope: 12.758). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for Uttarakhand; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,12.757755670308203,Long-term (6-12 months)
60,capacity_planning,Long-term Capacity Planning for West Bengal,Medium,Medium,West Bengal,,West Bengal shows consistent increasing trend (slope: 19.498). Long-term capacity planning needed to accommodate growth,Prepare for sustained growth in enrollment demand,Develop long-term capacity plan for West Bengal; Assess infrastructure needs for next 6-12 months; Plan for permanent capacity expansion; Coordinate with state authorities for infrastructure; Consider technology upgrades to increase efficiency; Monitor trend continuation,3-6 months,,,,,,,,19.49772009494133,Long-term (6-12 months)
